req,res
"이런 나, 멋지지?","응, 나도 거의 안 찍고 남이 찍은 거만 보는 편!"
언니는 아르바이트 많이 해 봤어?,아니 나는 많이 해보지는 않았어.../너는 많이 해본 편이야?
응. 나는 골고루 많이 해본 편이야!,오 그럼 제일 길게 한 건 뭐야?
제일 길게 한 건 카페야!,어느 카페에서 해봤어? 프랜차이즈?
개인 카페도 해보고 프랜차이즈도 해 봤어!,아 둘 다 해봤구나!/프랜차이즈는 어디서 일 해봤어?
맛있는 집이지?,나 요거프레소 진짜 좋아했는데 요즘 별로 없더라.../알바했던 곳 아직 그대로 있어?
사장님도 잘해 주셨어서 한 번 놀러 가기로 했어~!,너 완전 모범 사원이었나 보다./최근에 한 알바였어?
나름 재밌었어!,아 진짜 최근이네! 않았니??/그거 아이스크림 올려주는 거는 힘들지
응 맞아 ㅠㅠ 모양 예쁘게 담는 연습하느라 처음엔 정말 이상하게 올렸었어 ㅋㅋ,다들 잘 담아주던데 연습해야 되는 거였구나...하하
언니 주변에 해병대 나오신 분 있어?,"어, 아빠 해병대야 완전 해병대!"
언니 집엔 귀신 걱정 없겠다 하하,진정한 해병인.../해병대 나온 사람들은 그 해병대 부심이 엄청난 거 같아.
맞아 맞아. 그럼 주변에 해군이나 공군 나오신 분 있어?,음 아니! 해군이나 공군은 주변에 없는데/너는 있어?
친구 중에 공군인 친구가 있는데 특수 비행팀?에서 나레이터를 하더라!,그건 무슨 일하는 거야?
일단 에어쇼 할 때 민간인들도 이해하기 쉽게 설명해주고 그러더라고?!,아 그런 거구나! 에어쇼라니 멋있당/공군들도 육군처럼 베레모 썼었나...?
정확하진 않은데 베레모는 안 쓰는 거 같아!,그렇구나./나는 베레모가 이쁘던데 너는 어떻게 생각해?
군화는 너무 불편하겠다 ㅠ 그치?,맞아 그거 물집 엄청 잡히지 않아?/그냥 운동화 신어도 나는 물집 잡히는 편이야. 넌?
맞아 군화 정말 발 아프고 힘들 다는데 안쓰럽다 ㅠㅠ,그러니까 왜 굳이 군화를 신어야 되는지 모르겠어...
언니는 전학 가 본 적 있어?,나는 초등학교 때 1번! 너는 자주 다닌 편이었어?
친구들이랑 헤어지면 슬플 거 같아 ㅠㅠ,아! 나는 초등학교 때는 새 학교 3개 동시에 생겨서 친구들 다 나눠지고 그랬었어.!
언니는 외국어 배우는 거 좋아해?,아니 나는 아무래도 그쪽으로는 안 맞는 거 같아.../너는 영어 말고 배운 거 있어?
언니는 영어 말고 있어?,나는 스페인어를 배웠어!
몇 년 정도?,몇 년까지는 아니고 대학교 때 한 학기 교양으로!/그래서 스페인어 읽을 줄은 알아
읽는 것도 멋진 걸?,혀 굴리기 발음은 안 되지만 하하/넌 중국어 발음 잘해?
어릴 땐 성조랑 발음 괜찮은 편이라고 들었는데 다 까먹어서 이젠 모르겠다!,오! 중국어는 근데 한자 보고 읽는 거야?
한자는 몰라 하하,병음이 뭐지...?/영어로 되어있는 그거 였낭 하하
언니는 사촌이 많아?,아니 많은 편은 아니야!/그중에 이제 이모네 동생이랑만 유독 친해서 잘 놀아/너는?
나는 이모 딸이 나랑 나이가 같아서 친구처럼 지내!,아! 나는 동갑인 사촌은 없어서 신기하다~/나는 엄마네 사촌이랑 훨씬 더 잘 지내는데 너는 두루 두루 친해?
사촌은 가까이에 살아?,응 나는 다 가까이 살아!/할머니 집은 걸어서 5분이야~
나는 할머니가 부산에 사셔 ㅠㅠ,아 그럼 지금 못 뵌 지 오래됐겠다...
멀어서 다들 힘들어 ㅠㅠ,맞아 나는 근처에 살아서 명절에 민족 대 이동 이런 걸 겪어보지는 않았어.../부산 어디에 사셔?
우리는 그래서 명절마다 대 이동을 했는데 작년부터는 못 그러고 있네 ㅠㅠ,나 기장 들어봤어!/이번 추석에도 어떻게 될지는 모르는 거네?/할머니랑은 친한 편이야?
언니는 가까워서 자주 뵙고 친한 편인가?,ㅋㅋ 나도 친한 편이지/말 잘 듣는 막내 쪽에 속하는 손주라 할머니가 나 좋아한다고 말할 수 있어 자신 있게!
언니가 그만큼 할머니께 잘하니까 예뻐하실 거야!,맞아 그래서 할머니가 나만 옥수수 줬어 ㅋㅋ
언니는 연애 할 때 자주 만나는 편이야?,나는 일주일에 한 번이 좋다고 생각하는데! 나는 그게 딱 맞는 거 같아./너는 자주 만나는 걸 좋아해?
일주일에 두세 번 정도가 적당한 거 같아!,적당히 애틋하고 그게 좋아 난! 맨날 만나면 질려.../나의 개인주의 조금 알지?
알지 알지. 그러면 연락은 자주 하는 편이야?,연락은 실시간으로 하지는 않지만 틈 날 때마다 하면... 그게 실시간인가.../너는?
그러면 카톡이 좋아 전화 통화가 좋아?,나는 전화! 목소리를 들어야 돼! 전화 어려운 거 아니니까.../너도 전화를 선호하는 편이야?
그래서 카톡이 더 편하고 전화보다는 그냥 만나는 게 더 좋은 거 같아 하하,좀 다르네 ㅋㅋ 나는 전화하는 거 좋아해 목소리 듣는 거 좋아해!/근데 이제 자주 만나는 건 괜찮은...
그러면 결혼을 만약에 만약에 한다면 신혼여행은 어디로 가고 싶어?,유럽 유럽! 나는 유럽에 약간 지금 미쳐있는 상태야... 너무 가고 싶어.../너는 휴양지 가고 싶어?
놀지 못하고 죽은 귀신이 붙었나~하하,ㅋㅋ 쉬지 못하고 죽은 귀신이 붙은 거 같은데/하와이? 피지? 몰디브? 이런데?
나 바다를 너무 좋아하네 ^^,그러게 나는 유럽 길바닥 좋아하는데!
우리 강아지 포미는 7살이야!,7살이면 사람 나이로는 40살 정도? 맞지?
맞아 아마 중년 개일 텐데 내 눈에는 여전히 아기야 >_<,그럼 강아지 할아버지 강아지라고 해도 우리 눈에는 아기지 그럼 그럼!/그럼 보리는 몇 살이야?
우리 고양이 보리는 4살이야!,보리가 더 애기네 ㅋㅋ/보리랑 포미 둘 다 남자아이들이야?
보리가 포미를 너무 좋아해!,오왕 고양이가 강아지를 좋아하다니.../막 그럼 꾹꾹이 이런 거 해줘?
아니 보리는 꾹꾹이를 인형한테만 해! 신기하지?,아 그래? 꾹꾹이가 근데 약간 자기가 좋아하는 거한테 하는 거 아니야?
맞아! 보리가 사람한테 잘 앵기고 애교도 부리는데 희한하게 꾹꾹이는 인형한테만 하더라고!,꾹꾹이 하는 거도 보고 싶은데 동영상은 언제쯤 나한테 올 예정이야? ㅋㅋ
대신 포미 개인기를 보내줄게!,맞아 그것도 사실 기다리고 있었어./오늘 안으로 부탁해...!
귀여운 순간들이 아주 많아!,응! 나도 그럼 공유해줘/고마웡!
언니 축구 좋아해?,아니 나 축구는 별로 안 좋아해./축구 말고 배구!/넌 배구 좋아해?
그러면 야구는?,야구는 룰을 아는 데도는 재미가 없더라 나는 넌?
언니는 배구 룰 다 알아?,다 알진 않아도 대충은? 룰 몰라도 볼만 해!
그렇구나! 그럼 하는 거 좋아하는 운동 있어?,좋아하지는 않지만 배드민턴을 그나마 재밌게 하는 거 같아 넌?
나중에 한 판 붙자!,근데 아마 내가 질 거야 ㅋㅋ/탁구는 좀 할 줄 알아?
언니는 테니스 어때?,나는 테니스 배워보고 싶더라고!/요새 친구들 골프 배우던데 골프는 배워봤어?
언니 어릴 때 얼음땡 많이 했어?,그럼 그럼! 나는 약간 깍두기 역할도 많이 했어 ㅋㅋ/너는?
혹시 무궁화 꽃이 피었습니다는?,그걸 더 많이 한 거 같은데?/근데 너는 데덴찌였어 편 가를 때? 갑자기 궁금해져서 하하
지역마다 부르는 게 다르다며?!,맞아 덴찌후레찌인가 그것도 있었는데 ㅋㅋ/갑자기 생각나서 물어봤어!
아 그러면 한발 뛰기 혹시 알아?,응 그거 술래가 한 발 덜 뛰어서 잡는 그건가?
근데 술래 되긴 싫었어 하하,승부욕이 넘쳐서 지면 울고 그랬어?
참참참! 이 게임 알아?,참참참 알지! 디비디비딥 같은 거!/쿵쿵따 아니 옛날 게임 다 생각나는데 지금?
그냥 끝말잇기 같지만 거꾸로 말해야 해서 약간 난이도 있고 재밌었는데. 그치?,슭곰발 생각 난다 ㅋㅋ 애들이랑 많이 했던 거 같아!/넌 또 무슨 게임 했어?
아 그리고 또 생각나는 게 절대 음감! 알아?,설명해주면 알 거 같아!
언니 여행 가면 숙소는 어떤 스타일을 좋아해?,나는 조식 주는 곳과 적당히 깨끗한 화장실이라면 뭐든 상관 없어!
그러면 조식 먹을 때 좋아하는 메뉴가 있어?,주로 계란 스크램블이 제일 무난하고 실패하지 않는 거 같아!/너는?
빵이랑 커피랑 먹으면 최고 최고 ^^,맞아! 싱가포르 가서 카야쨈 토스트 먹었는데 혹시 먹어봤니?
싱가포르 좋았어?!,싱가포르 진짜 더웠는데.../마리나베이에서 하루 잤는데 진짜 최고 최고! 꼭 추천할게!
그리고 또 맛있게 먹은 게 뭐였어?,칠리크랩도 진짜 맛있어!/진자 밥 비벼 먹어도 되고 싼 편이고 무조건 다시 먹고 싶음./너도 맛있었던 음식 말해줘!
"나는 보라카이에서는 망고스틴이랑 망고 빙수, 망고 아이스크림이 너무 맛있었어!",망고의 도시... 나는 망고를 별로 안 좋아하는데 가서 먹으면 맛이 진짜 달라?
근데 사실 망고보다 망고스틴이 훨씬 훨씬 맛있어서 시장에서 진짜 다섯 바가지 사 먹었어!,망고스틴도 안 먹어봤어!/무슨 맛이야?
음... 약간 리치랑 비슷한데 약간 다르고 달달하고 맛있는데 껍질 까는 게 조금 힘들어!,아 리치랑 비슷한 맛이구낭/이쁘게 생긴 모양만 기억이 나서 물어봤어!
언니 얼마 전에 무지개 생긴 거 봤어?,쌍무지개 그거 말하는 거야??
응! 나는 못 봤어 ㅠㅠ,그것도 딴 사람이 찍은 걸 봤어.../나도 못 봤어! 내가 사는 데는 보이지가 않던데 ㅜㅜ
그럼 사는 동안 무지개 본 적 있어?,응 나는 예전에 쌍무지개 한번 봤어!/쌍무지개 본 적 있어?
아니! 그냥 무지개는 봤어도 쌍무지개는 못 봤는데 정말 운이 좋네?,맞아 태어나서 처음 봤어!/너는 겨울에도 아이스를 먹는 편이야?
언니는 어떤 계절을 좋아해?,나는 가을이 더 좋아!/구름 없는 하늘 좋아!/넌 구름 좋아해?
"그래서 여름~가을, 가을~겨울 사이가 좋아 구름이 너무 너무 예쁘거든!",나도 뭉게뭉게 구름 좋아하는 편이야!
언니 코로나 백신 종류가 뭐 뭐가 있더라?,내가 아는 건 우선 모더나랑 화이자랑 또 뭐 있었지?
아스트라제네카랑 얀센이 있어!,아 맞다 맞다! 그거 다 2번씩 맞는 건가?
다른 건 어떻지?,얀센은 아마 1번일 걸?/근데 2차 맞는 기간은 다 달랐던 거 같은데 맞나...?
2차 맞는 기간이 얼마 후인데?,잘 모르는데... 아스트라제네카는 6주 뒤에 맞았던 거 같아./너는 이번에 백신 신청하면 뭐 맞아?
이번에 우리 신청하는 백신은 종류가 무엇이지?,아 백신을 신청하는 거야?/그냥 주사만 신청하면 알아서 주는 거 아니었어?
"아~ 이번에 우리가 맞는 종류는 화이자랑, 모더나래. 물량에 따라 달라지는 거 같더라고?",아! 우리는 아스트라는 아니구나 청년들 부작용 많다고 했었다./넌 더 맞고 싶은 백신 있어?
언니는 긴장 안 돼?,응 나는 긴장 안 돼!
"언니, 영국에 둘레이 강에 우유 트럭이 쏟아졌대!",엉? 그러면 강이 하얗게 되는 건가?
그 정도로 많이 쏟아졌단 말이야? 어떡해...,강이 조그만 강인가?/한강에 우유 트럭 쏟아진다고 한강이 하얗게 될 거 같진 않은데...
그러게... 어떻게 된 일이지...,내가 사진 봤는데 진짜 우유가 흘러 사진 봤어?
아니! 한 번 찾아볼게. 얼마나 심각한지...,그리고 미국에서 아이들끼리 싸우다가 엄마들끼리 총 싸움으로 번졌대
그래서 다친 사람이 있대?,아마도? 아니 나는 총 소지하는 건 반대하는 입장이야...
우리나라는 총기 소지 금지라 조금 다행이라고 생각해.,맞아 그리고 대마초도 약간 합법인 나라 있지 않아?
우리나라는 불법이잖아!,맞아 그럼 우리나라 학생들 유학 가서 대마초 펴는 되는 부분인가?
그러게. 유학생들 외국에서 피고 와서 우리나라 와서 마약범 되는 거 아닌가?,드라마 보니까 외국에서 피고 와서 그렇게 되는 사람도 있더라고!
언니 혹시 향수 좋아해?,응 나는 산타마리아노벨라 향수 쓰는데/너는 향수 써?
추천 좀 부탁해?,나는 딥디크 추천!/딥디크가 향이 진짜 오래가!
언닌 무슨 계열 향을 좋아해?,나는 비누향! 지금 쓰는 향수도 비누 향이야 하하/너는 어떤 향 좋아해?
나는 시트러스 계열도 좋아해!,시트러스 여름에 잘 어울리는 향!/혹시 네일아트 좋아해?
학생 때는 종종했는데 성인 되고부터는 너무 불편해서 안 하게 돼.,나는 손톱을 못 기르는 편이라 해도 바로 바로 자르더라고.../손톱 기르는 거 잘 견디는 편이야?
아니. 위생적으로도 그렇고 생활하다 보면 잘 부러지고 불편해서 손톱을 바짝 깎는 편이야!,나도 나도!/혹시 퍼스널 컬러 그거는 해봤어?
언니는 진단 해 봤어?,나는 쿨톤은 아닌 거 같아 분홍색 너무 안 어울려서!/나는 진단은 안 해봤는데 같이 하러 가볼까!?
좋아! 나도 어릴 땐 핑크 계열을 화장품 보면 소름 돋았는데 요즘엔 너무 좋아서 소름 돋아 하하,아 진짜? 난 분홍색 하면 너무 촌스러워져서 못 쓰겠어...
언니 유연한 편이야?,나 유연한 편이야/나 서서 요렇게 하면 바닥 짚을 수 있어!
그럼 근력이 조금 센 편이야?,그럼 얼마든지 보여줄 수 있어! ㅋㅋ/근력 손실이 지금 심각한 중이야 난.../넌 건강 검진 해본 적 있어?
아니! 그럼 언니 알러지 혹시 있어?,응 나는 알러지 엄청 많아!/거의 모든 과일에 알러지가 조금씩 있어.../너는 괜찮아?
나는 놀랍게도 동물 털 알러지가 조금 있어.,어!? 강아지랑 고양이 키우지 않아? 괜찮아?
언니는 과일 먹을 수 있어?,응 먹을 수는 있어!/근데 이제 목구멍 안이 간지러워... 경험해봤니?...
아니... 나는 먹는 부분에 있어서는 알러지가 단 한 개도 없어서 그 느낌을 몰라...!,아 정말 목구멍 안이 간지러우면 난감해.../꽃 알레르기도 있어 그럼?
최근에 인터넷으로 주문한 거 있어?,가장 최근에 산 거는 씨디를 구매해봤어!/너는 뭐 샀어?
나는 강아지 고양이 사료랑 간식!,오! 그런 것도 요새 택배가 잘 되어 있구나 신기하당!
응응! 그러면 혹시 택배를 직접 보내본 적 있어?,택배를 직접 보낸 적은 없는 거 같은데? 기억에 없어.../너는 보내 봤어?
응. 나는 편의점 택배 보내보고 우체국 택배도 보내봤어.,오 어디가 더 보내기에 괜찮아?
우체국이 차라리 빠르고 정확해서 편하더라고!? 추천해!,오! 기억해둘게!/너는 배달 시키면 직접 받는 편이야 문 앞에 놔 달라고 하는 편이야?
택배는 참 편한 거 같아 그치?,택배는 소비자 입장에서는 진짜로 편하고 기다려지는 거 같아!
언니는 챙겨 보는 프로그램이 있어?,나는 요즘에 대탈출!/너는?
나는 요즘엔 없는 거 같아.,그럼 예전에는 뭐 챙겨봤어?
언니도 그렇지?,나 완전! 나 토요일 날 약속도 안 잡았었어 무한도전 봐야 돼서.../너도 그 정도였어? ㅋㅋ
미안. 난 토요일엔 잘 나가 놀았어 사실,아 진정한 무한도전 팬이 아니었네/나는 막 달력이랑 다이어리도 사고 그랬어 ㅋㅋ/무한도전 덕질을 한 거 같아.
헐 대박! 나도 무한도전 사진전 가고 달력도 샀어!,사진전 미쳤다! 그거 일산에서 해서 내가 가려다가 진짜 너무 멀어서 못 갔었는데 ㅋㅋ
맞아! 일산 MBC에서 해서 나는 친구들이랑 갔었어! 아마 중 3 때?,너는 봤구나 신기하다/막 가요제도 가고 싶어 가지고 갈까 말까 엄청 고민하고 그랬었는데/가요제도 가봤어?
언니는 가 봤어?,나 역시 못 갔지.../실제로 만난 적이 없어 한 번도.../너는 만나본 멤버 있어?
언니 해리포터 시리즈 다 봤지?,아 나 너무 다 봤어 다는 시리즈 각각 10번은 넘게 봤어/너도 다 봤어?
언니는 해리포터에서 제일 좋아하는 배역 있어?,아무래도 해리포터... 주인공 짱짱!/너는? 해리 말고 있어?
나는 론을 좋아했어! 약간 찌질하지만 귀여워서.,론 어렸을 때 귀여웠는데 갑자기 커 가지고 조금 놀랐어.../너는 어떤 편이 제일 재밌었어 영화?
근데 퀴디치 경기는 너무 무서워 보여 ㅠㅠ,나는 빗자루보다는 마법을 쓰고 싶었는데 기억나는 마법 있어? ㅋㅋ
알지 알지! 그 마법 가르쳐준 교수님도 생각나는 걸? 쪼꼬미 교수님,엇! 갑자기 도비가 생각나네...
도비... 생각하니 눈물이 나네,도비 죽는 장면 보고 울었잖아 난...
갑자기 레몬 케이크 이런 거 먹고 싶다 ㅠㅠ,헉 나도!/완전 상큼하고 달달해서 좋아..
그치? 사실 얼마 전에 갑자기 너무 먹고 싶어서 집 근처 카페에서 배달 시켜 먹었는데 너무 맛있었어!,와 진짜 맛있었겠다 ㅠㅠ/나도 레몬 케이크나 레몬 마들렌 이런 거 좋아해서 카페 가고 싶어질 때가 종종 있어 하하
요즘은 디저트류도 다 배달되니까 집에서 편하게 먹기도 좋더라.,맞아 음료도 자주 시켜 먹더라!/근데 나는 아직 디저트류는 한 번도 시켜본 적은 없어 ㅋㅋ/익숙하지 않아서 그런가...
오히려 너무 배달 음식 많이 먹어서 큰일이긴 해!,오 정말?/배달 앱 자주 사용하는 분들은 진짜 다양하게 이용하시더라 ㅋㅋ/자주 시키는 음식 뭐 있어?
넌 자주 이용 안 하는구나?,오오 떡볶이 나도 진짜 좋아해.../나는 자주는 아니지만 주로 시켜 먹는 종류는 떡볶이나 피자 치킨 주로 이런 거 시키는 거 같아! 하하
그래도 역시 배달 음식 줄이고 건강하게 집밥 먹는 게 좋은 거 같아!,맞아 그건 그래!/배달 음식이 편하긴 한데 확실히 몸에는 안 좋은 거 같아서 가끔 이용하는 게 좋긴 하더라구  ㅠㅠ
요즘 외식도 잘 못 하게 돼서 자꾸 배달에 의존하게 되는 거 같은데 줄이도록 노력해봐야겠어!,그치 요즘은 더 그렇게 되는 거 같긴 해.../또 여름이라 날이 더워져서 그런가?/요리도 하기 싫고 나가기도 싫어... ㅋㅋ
여름에는 여러모로 불편하긴 한 거 같아 ㅠㅠ,맞아 우리 집도 그래서 되게 고생하고 있어 ㅠㅠ/얼른 여름 지나갔으면...
부동산 이런 데 관심 많아?,나는 아직 독립을 안 해서 그런지 크게 관심은 없는데 이제 슬슬 관심 가져야 할 거 같긴 해 ㅠㅠ
집값 미쳤다고 매일 뉴스 나오기도 하고 ㅠ,그치! 아무래도 독립을 하고 나면 집 구할 때는 필수적인 요소다 보니까 잘 알아보고 공부도 해두고 해야 할 거 같아.
근데 요즘 아파트 값이 너무 비싸서 다시 아파트 살 수 있을까 싶어.,맞아 나도 잘은 모르지만 요즘 아파트 값이 말도 안 되게 올랐다는 거는 너무 잘 알고 있거든./집 구하기가 이렇게 어려우면 앞으로 어떡하라는 건지... ㅠㅠ
나만 해도 그렇긴 하거든 ㅋㅋ,맞아 맞아./근데 요즘 같이 이런 때는 젊은 세대나 신혼부부들은 아파트 내 집 마련이나 전세는 꿈도 못 꾸겠어.
맞아. 부모님 세대 때만 해도 월급 몇 달 치 모으면 집 하나 살 수 있었다고 하던데 요즘은 10년 20년 모아도 겨우 살까 말까 하니까 ㅠㅠ,그렇게 말이야./요즘은 그런 게 꿈 속 이야기가 돼 버린 느낌이야 ㅠㅠ/열심히 모으면 그래도 살 수 있을 거라는 희망이라도 있어야 하는데 이제는 그런 것조차 생각할 수 없을 거 같은 느낌?
단독 주택 생활 로망이 있어!,나도! 진짜 아마 다들 주택에 대한 로망이 있지 않을까 싶어 하하/너무 크지 않아도 아늑한 공간이면 얼마나 좋을까!
요즘 그렇게도 많이 짓는 거 같더라.,ㅋㅋ 그치! 주택은 청소나 정원 관리가 진짜 힘들어서 사실 너무 큰 곳도 그렇게 좋지만은 않은 것 같아.../20평대 주택도 많이 짓는구나!/어떤 느낌인지 궁금해!
생각보다 자기 생활이랑 안 맞을 수도 있으니까...,오 그거 되게 좋은 방법이다!/아무리 살고 싶었어도 안 맞을 수 있으니까 시도해 보고 결정하는 게 좋은 거 같아 하하
내일 광화문 갈 일이 있는데 지하철 타고 가는 게 낫겠지?,그래? 퇴근하고 가는 거야?/그러면 아무래도 지하철이 좋을 거 같은데!
버스 타는 건 오버겠지?,아 반차 내고 가는 거면 점심 시간 좀 지나고겠네!/버스는 몇 분 걸린다고 나와?/버스는 좀 돌아가긴 해서 빠르게 가려면 지하철이 좋긴 할 텐데...
거리상으로는 별로 안 멀 텐데..,맞아 ㅠㅠ/버스는 그래서 시간적 여유가 있으면 타는 것도 괜찮은데 그게 아니면 난감할 때도 많아서 신중하게 생각하고 타게 되더라.
맞아! 어렸을 때는 막 버스 타고 돌아다니는 거 좋아해서 시간도 많고 그냥 갈 곳 없는데 버스 타고 돌아다닌 적도 있다 ㅠㅠ,와 나도 버스 타고 돌아다니는 거 진짜 해보고 싶었어!/한 번도 해본 적 없는데 너 해봤구나! ㅋㅋ/추천할 만해?
그렇게 멀리는 안 갔었지!,ㅋㅋ 근데 그때만의 또 느낌이랑 감성이 있어서 너무 괜찮은 시도였던 거 같은데?/뭔가 기분 전환도 될 거 같고!
맞아! 하하 생각해보니 지금도 매일 버스랑 지하철로 출퇴근하는데 그때 느낌이랑은 아주 아주 다르지.,그치. ㅋㅋ 이젠 뭔가 현실에 가까운 느낌이고 그때는 약간의 일탈 느낌이라.../나중에 시간 되면 버스나 지하철로도 한 번 해보고 싶다!
거기 근처에 중앙선 역이 하나 있는데 지하철 타고 가니까 되게 좋더라!,오! 처음 들어봐!/나중에 한번 가봐야겠다 ㅋㅋ/한강에 공원이라니 생각만 해도 힐링이야.
차로 가도 되긴 하고 하하,응응 그래야겠다!/날 선선해지면 다녀와야지! 하하
지인 중에 혹시 직업 군인 있어?,아 응!/나 아는 오빠가 ROTC야!
ROTC면 학군단? 그거인가?,응 나도 자세히는 모르지만 학군단으로 학교도 같이 다니다가 나중에는 직업으로 삼고 그러더라구!
그 군복이라고 해야 하나? 그것도 갖춰 입고 다니더라!,응 맞아!/나도 학교에서 봤었는데 학교 과가 그쪽이랑 관련 없는 사람들도 관심이 생겨서 그렇게 들어가고 또 그렇게 해서 직업 군인으로 가는 사람들도 종종 있더라!
그래서 그 친구는 3년? 정도 다니고 제대했어!,헉 그랬구나!/확실히 군대에서 일을 한다는 것 자체가 정말 어려운 부분인 거 같아 ㅠㅠ/잠시 훈련 받는 것도 정말 쉽지 않은 건데 말이야.
맞아! 장교는 또 그냥 들어가는 게 아니라 시험 봐서 들어가니까... 들어가는 것도 힘들었을 텐데 계속 다니는 게 더 힘들었나 봐.,그치. 고생해서 들어갔는데도 그만두는 거 보면 정말 힘들었다는 게 느껴지네./나도 내 동생 군대 갔을 때 많이 힘들어하는 거 보고 좀 더 확 느껴졌던 거 같아 ㅠㅠ
동생은 육군 갔었어?,동생은 의경으로 갔었어!/그래서 육군이랑은 또 조금 다른 힘든 점이 있었던 거 같아!
의경은 주로 어떤 임무를 해?,지역마다 조금 다를 텐데 치안 업무는 기본적으로 하는 거 같고 긴급한 상황이 생기면 나가서 같이 돕는 것도 있고 시위나 집회 같은 게 있으면 나가는 것 같더라! ㅠㅠ
무사히 전역해서 정말 다행이야!,맞아 그 기간은 가족들 모두가 같이 걱정하고 기다리는 시간이라서 정말 힘들었는데 무사히 지나가서 정말 다행인 거 같아!
요즘 반려동물 시장이 진짜 커지고 있대!,오 정말?/사람들이 점점 다양한 동물들을 키우는 건가?
근데 확실히 길가 다녀봐도 강아지 산책 시키는 사람들이 더 많아진 느낌이야,맞아 그건 그래!/우리 동네에도 강아지 산책 시키는 모습 정말 많이 보이거든!
난 강아지는 안 키우지만 그 강형욱? 그 사람이 확실히 반려동물 문화를 좀 바꾼 거 같기도 해 ㅋㅋ,아 진짜 생각해보니 그렇네! ㅋㅋ/나도 강아지를 키우지는 않지만 그 사람 영상은 종종 봤거든!/사람들이 좀 책임감 갖게 된 것도 같아!
안 그러면 스트레스 받고 그게 뭐 공격성으로 나올 수가 있다고 한다더라!,헉 그렇구나!/하긴 요즘 워낙 바쁘게 다들 사니까 강아지가 혼자 집에만 있는 경우가 진짜 많은 거 같아 ㅠㅠ
맞아. 그래서 내 친구는 애견 미용샵 사장인데 샵에 항상 데리고 다니더라고!,오 진짜 그렇게 데리고 다니시는구나!/일하는 곳에 데리고 갈 수 있는 사람들은 그렇게 같이 나가는 것도 괜찮겠다!/요즘은 애견 동반 가능 카페도 좀 있어서 같이 데리고 나가기도 하던데!
반려견 있는 사람들은 그런 데로 자주 가더라!,오 맞아!/또 펜션 같은 데도 있던데 식당도 있는 줄은 몰랐어!/되게 새로운 것들이 많이 생기고 있구나 요즘 하하
그만큼 동물권 보장도 좀 법적으로 되고... 인식이 좋아졌으면 좋겠어 ㅠㅠ,그치 이전에는 동물 관련된 사건 사고가 일어나도 대처가 잘 안 됐던 거 같은데 요즘에는 많이 좋아지고 있는 거 같아서 다행이야!
맞아. 동물도 같이 공존하는 생명체인데 생명 존중을 좀 해야지!,공감이야!/앞으로도 사람들 인식이 더 나아졌으면 좋겠어!
오늘 저녁에 올림픽 여자 배구 4강전 한대!,헉 오늘 저녁이었구나!/퇴근하고 가서 볼 수 있으려나!
퇴근하고 가서 볼 수 있겠는데!,시간 완전 좋다! ㅋㅋ/이전에는 오전에 하고 그래서 못 본 게 너무 아쉬웠는데 ㅠㅠ
그래도 연경신이 있다면!,브라질 정말 잘 할 텐데... 맞아!/그래도 이전 경기 같이 했던 국가들도 잘하는 곳이었는데도 이겼으니까!
양궁도 항상 인터넷에 클립으로만 봤거든,오 사실 나도 그래 ㅋㅋ/항상 결과 알고 나서 나중에 봤었는데.../근데 운동 경기 생중계 보면 정말 너무 너무 긴장 돼.
맞아! 스포츠 경기 보는 거 좋아해?,나 내가 좋아하거나 흥미가 가는 경기들은 올림픽 할 때 종종 보는 거 같아!
어떤 종목 좋아해?!,음 나는 주로 양궁이나 쇼트트랙을 자주 보는 거 같아!/넌?
우리 둘 다 뭔가 빠르게 진행되는 종목을 좋아하네 ㅋㅋ,ㅋㅋ 말하고 보니 그렇네!/뭔가 박진감도 넘치고 긴장도 되는데 재밌는 거 같아!
금요일이고 하니 더 기대되고 신난다 ㅋㅋ,그러자 진짜 오늘 마침 딱 금요일이어서 조금은 맘 편하게 볼 수 있겠다!
너 혹시 심즈라는 게임 알아?,아 해보지는 않았는데 온라인에 올라온 사진 같은 걸로 본 적은 있어!
나 초등학생 때 심즈 1인가 2였나 나왔었는데 지금은 4까지 나왔어.,아 정말? ㅋㅋ/내 주변 애들이 관심이 없었던 건가 나는 잘 몰랐었던 거 같아!/그건 뭘 하는 게임이야?
그래서 그 심들로 다른 심들이랑 친구로 지내기도 하고 연인으로 지내기도 하고 가족도 만들고 직장도 다니고 휴가도 다니고 그런... 진짜 사람 인생처럼 플레이 하는 게임이야!,오 대박!/약간 내가 만들어가는 느낌의 게임이구나!/뭔가 내가 성장시키는 아니면 같이 커가는 기분이라 되게 재밌을 거 같다 ㅋㅋ/그게 벌써 4까지 나왔다니 인기가 아직도 여전한가 봐!
주로 여자들이 많이 하는 거 같아!,오 생각보다 되게 구체적이고 디테일한 게임이겠는데?/그 게임 캐릭터는 성인만 있는 거야 아니면 아이들도 있어?
되게 재밌어 ㅋㅋ,오 진짜 신기하다 ㅋㅋ/엄청 재밌을 거 같아!/전에 본 건데 팬들이 자기가 좋아하는 연예인 모습이랑 비슷하게 심즈 캐릭터를 만들어서 올린 거도 본 적이 있거든!
다만 무료 게임이 아니란 게 좀 아쉬워.,헉 무료 게임이 아니야?/이럴 수가/무료 게임인 줄 알았어!
